date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:02:50	4188/4188	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2008%20Dec%202015%2019:02:52%20GMT	http://www.dare-greatly.com/css/ajax-loader.gif	C:/Users/Charles/OneDrive/Desktop/Cadillac/Websites/Cadillac/www.dare-greatly.com/css/ajax-loader.13.delayed	(from http://www.dare-greatly.com/css/libraries.min.css)
14:02:51	4188/4188	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2008%20Dec%202015%2019:02:53%20GMT	http://www.dare-greatly.com/css/fonts/slick.eot	C:/Users/Charles/OneDrive/Desktop/Cadillac/Websites/Cadillac/www.dare-greatly.com/css/fonts/slick.14.delayed	(from http://www.dare-greatly.com/css/libraries.min.css)
14:02:51	4189/4189	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2008%20Dec%202015%2019:02:53%20GMT	http://www.dare-greatly.com/css/fonts/slick.eot?	C:/Users/Charles/OneDrive/Desktop/Cadillac/Websites/Cadillac/www.dare-greatly.com/css/fonts/slick.15d41d.delayed	(from http://www.dare-greatly.com/css/libraries.min.css)
14:02:52	4189/4189	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2008%20Dec%202015%2019:02:54%20GMT	http://www.dare-greatly.com/css/fonts/slick.woff	C:/Users/Charles/OneDrive/Desktop/Cadillac/Websites/Cadillac/www.dare-greatly.com/css/fonts/slick.16.delayed	(from http://www.dare-greatly.com/css/libraries.min.css)
14:02:52	4188/4188	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2008%20Dec%202015%2019:02:54%20GMT	http://www.dare-greatly.com/css/fonts/slick.ttf	C:/Users/Charles/OneDrive/Desktop/Cadillac/Websites/Cadillac/www.dare-greatly.com/css/fonts/slick.17.delayed	(from http://www.dare-greatly.com/css/libraries.min.css)
14:02:53	4189/4189	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2008%20Dec%202015%2019:02:55%20GMT	http://www.dare-greatly.com/css/fonts/slick.svg	C:/Users/Charles/OneDrive/Desktop/Cadillac/Websites/Cadillac/www.dare-greatly.com/css/fonts/slick.18.delayed	(from http://www.dare-greatly.com/css/libraries.min.css)
14:02:54	52104/52104	---M--	200	added ('OK')	application/javascript	etag:%22cb88-52617e1fb4f40%22	http://www.dare-greatly.com/js/vendor/foundation.min.js	C:/Users/Charles/OneDrive/Desktop/Cadillac/Websites/Cadillac/www.dare-greatly.com/js/vendor/foundation.min.js	(from http://www.dare-greatly.com/experience-cadillac/xt5/parallels-by-design)
14:03:00	71311/71311	---M--	200	added ('OK')	application/javascript	etag:%221168f-52617e20a9180%22	http://www.dare-greatly.com/js/analytics-all.min.js	C:/Users/Charles/OneDrive/Desktop/Cadillac/Websites/Cadillac/www.dare-greatly.com/js/analytics-all.min.js	(from http://www.dare-greatly.com/experience-cadillac/xt5/parallels-by-design)
14:03:01	42682/42682	---M--	200	added ('OK')	image/jpeg	etag:%22a6ba-52617def11c80%22	http://www.dare-greatly.com/images/parallels/brigeposter-poster.jpg	C:/Users/Charles/OneDrive/Desktop/Cadillac/Websites/Cadillac/www.dare-greatly.com/images/parallels/brigeposter-poster.jpg	(from http://www.dare-greatly.com/css/app.min.css)
14:03:03	10933/10933	---M--	200	added ('OK')	image/jpeg	etag:%222ab5-52617def11c80%22	http://www.dare-greatly.com/images/parallels/exploration_poster.jpg	C:/Users/Charles/OneDrive/Desktop/Cadillac/Websites/Cadillac/www.dare-greatly.com/images/parallels/exploration_poster.jpg	(from http://www.dare-greatly.com/css/app.min.css)
14:03:06	26595/26595	---M--	200	added ('OK')	image/jpeg	etag:%2267e3-52617def11c80%22	http://www.dare-greatly.com/images/parallels/cut-sew-poster.jpg	C:/Users/Charles/OneDrive/Desktop/Cadillac/Websites/Cadillac/www.dare-greatly.com/images/parallels/cut-sew-poster.jpg	(from http://www.dare-greatly.com/css/app.min.css)
14:03:07	1338/1338	---M--	200	added ('OK')	image/jpeg	etag:%2253a-52617def11c80%22	http://www.dare-greatly.com/images/parallels/prev.jpg	C:/Users/Charles/OneDrive/Desktop/Cadillac/Websites/Cadillac/www.dare-greatly.com/images/parallels/prev.jpg	(from http://www.dare-greatly.com/css/app.min.css)
14:03:07	1332/1332	---M--	200	added ('OK')	image/jpeg	etag:%22534-52617def11c80%22	http://www.dare-greatly.com/images/parallels/next.jpg	C:/Users/Charles/OneDrive/Desktop/Cadillac/Websites/Cadillac/www.dare-greatly.com/images/parallels/next.jpg	(from http://www.dare-greatly.com/css/app.min.css)
14:03:10	16188/16188	---M--	200	added ('OK')	image/jpeg	etag:%223f3c-52617def11c80%22	http://www.dare-greatly.com/images/parallels/white_swatch.jpg	C:/Users/Charles/OneDrive/Desktop/Cadillac/Websites/Cadillac/www.dare-greatly.com/images/parallels/white_swatch.jpg	(from http://www.dare-greatly.com/css/app.min.css)
14:03:14	69715/69715	---M--	200	added ('OK')	image/jpeg	etag:%2211053-52617def11c80%22	http://www.dare-greatly.com/images/parallels/insp_mondrian_bg.jpg	C:/Users/Charles/OneDrive/Desktop/Cadillac/Websites/Cadillac/www.dare-greatly.com/images/parallels/insp_mondrian_bg.jpg	(from http://www.dare-greatly.com/css/app.min.css)
14:03:14	20682/20682	---M--	200	added ('OK')	image/jpeg	etag:%2250ca-52617def11c80%22	http://www.dare-greatly.com/images/parallels/blue_swatch.jpg	C:/Users/Charles/OneDrive/Desktop/Cadillac/Websites/Cadillac/www.dare-greatly.com/images/parallels/blue_swatch.jpg	(from http://www.dare-greatly.com/css/app.min.css)
14:03:18	23063/23063	---M--	200	added ('OK')	image/jpeg	etag:%225a17-52617def11c80%22	http://www.dare-greatly.com/images/parallels/black_swatch.jpg	C:/Users/Charles/OneDrive/Desktop/Cadillac/Websites/Cadillac/www.dare-greatly.com/images/parallels/black_swatch.jpg	(from http://www.dare-greatly.com/css/app.min.css)
14:03:19	26237/26237	---M--	200	added ('OK')	image/jpeg	etag:%22667d-52617def11c80%22	http://www.dare-greatly.com/images/parallels/pure_white_swatch.jpg	C:/Users/Charles/OneDrive/Desktop/Cadillac/Websites/Cadillac/www.dare-greatly.com/images/parallels/pure_white_swatch.jpg	(from http://www.dare-greatly.com/css/app.min.css)
14:03:22	241207/241207	---M--	200	added ('OK')	application/javascript	etag:%223ae37-52617e1fb4f40%22	http://www.dare-greatly.com/js/vendor/libraries.min.js	C:/Users/Charles/OneDrive/Desktop/Cadillac/Websites/Cadillac/www.dare-greatly.com/js/vendor/libraries.min.js	(from http://www.dare-greatly.com/experience-cadillac/xt5/parallels-by-design)
14:03:22	20742/20742	---M--	200	added ('OK')	image/jpeg	etag:%225106-52617def11c80%22	http://www.dare-greatly.com/images/parallels/red_swatch.jpg	C:/Users/Charles/OneDrive/Desktop/Cadillac/Websites/Cadillac/www.dare-greatly.com/images/parallels/red_swatch.jpg	(from http://www.dare-greatly.com/css/app.min.css)
14:03:22	22342/22342	---M--	200	added ('OK')	image/jpeg	etag:%225746-52617def11c80%22	http://www.dare-greatly.com/images/parallels/cream_swatch.jpg	C:/Users/Charles/OneDrive/Desktop/Cadillac/Websites/Cadillac/www.dare-greatly.com/images/parallels/cream_swatch.jpg	(from http://www.dare-greatly.com/css/app.min.css)
14:03:26	23174/23174	---M--	200	added ('OK')	image/jpeg	etag:%225a86-52617def11c80%22	http://www.dare-greatly.com/images/parallels/last_black_swatch.jpg	C:/Users/Charles/OneDrive/Desktop/Cadillac/Websites/Cadillac/www.dare-greatly.com/images/parallels/last_black_swatch.jpg	(from http://www.dare-greatly.com/css/app.min.css)
14:03:27	28243/28243	---M--	200	added ('OK')	image/jpeg	etag:%226e53-52617def11c80%22	http://www.dare-greatly.com/images/parallels/h_exploration.jpg	C:/Users/Charles/OneDrive/Desktop/Cadillac/Websites/Cadillac/www.dare-greatly.com/images/parallels/h_exploration.jpg	(from http://www.dare-greatly.com/css/app.min.css)
14:03:28	4602/4602	---M--	200	added ('OK')	image/jpeg	etag:%2211fa-52617def11c80%22	http://www.dare-greatly.com/images/parallels/m_crystalwhite.jpg	C:/Users/Charles/OneDrive/Desktop/Cadillac/Websites/Cadillac/www.dare-greatly.com/images/parallels/m_crystalwhite.jpg	(from http://www.dare-greatly.com/css/app.min.css)
14:03:30	5813/5813	---M--	200	added ('OK')	image/jpeg	etag:%2216b5-52617def11c80%22	http://www.dare-greatly.com/images/parallels/m_adriaticblue.jpg	C:/Users/Charles/OneDrive/Desktop/Cadillac/Websites/Cadillac/www.dare-greatly.com/images/parallels/m_adriaticblue.jpg	(from http://www.dare-greatly.com/css/app.min.css)
14:03:32	6468/6468	---M--	200	added ('OK')	image/jpeg	etag:%221944-52617def11c80%22	http://www.dare-greatly.com/images/parallels/m_darkgranite.jpg	C:/Users/Charles/OneDrive/Desktop/Cadillac/Websites/Cadillac/www.dare-greatly.com/images/parallels/m_darkgranite.jpg	(from http://www.dare-greatly.com/css/app.min.css)
14:03:33	6534/6534	---M--	200	added ('OK')	image/jpeg	etag:%221986-52617def11c80%22	http://www.dare-greatly.com/images/parallels/m_radiantsilver.jpg	C:/Users/Charles/OneDrive/Desktop/Cadillac/Websites/Cadillac/www.dare-greatly.com/images/parallels/m_radiantsilver.jpg	(from http://www.dare-greatly.com/css/app.min.css)
14:03:35	3962/3962	---M--	200	added ('OK')	image/jpeg	etag:%22f7a-52617def11c80%22	http://www.dare-greatly.com/images/parallels/m_redpassion.jpg	C:/Users/Charles/OneDrive/Desktop/Cadillac/Websites/Cadillac/www.dare-greatly.com/images/parallels/m_redpassion.jpg	(from http://www.dare-greatly.com/css/app.min.css)
14:03:37	6129/6129	---M--	200	added ('OK')	image/jpeg	etag:%2217f1-52617def11c80%22	http://www.dare-greatly.com/images/parallels/m_silvercoast.jpg	C:/Users/Charles/OneDrive/Desktop/Cadillac/Websites/Cadillac/www.dare-greatly.com/images/parallels/m_silvercoast.jpg	(from http://www.dare-greatly.com/css/app.min.css)
14:03:38	6448/6448	---M--	200	added ('OK')	image/jpeg	etag:%221930-52617def11c80%22	http://www.dare-greatly.com/images/parallels/m_stellarblack.jpg	C:/Users/Charles/OneDrive/Desktop/Cadillac/Websites/Cadillac/www.dare-greatly.com/images/parallels/m_stellarblack.jpg	(from http://www.dare-greatly.com/css/app.min.css)
14:03:40	1180/1180	---M--	200	added ('OK')	image/png	etag:%2249c-52617def11c80%22	http://www.dare-greatly.com/images/parallels/back_top.png	C:/Users/Charles/OneDrive/Desktop/Cadillac/Websites/Cadillac/www.dare-greatly.com/images/parallels/back_top.png	(from http://www.dare-greatly.com/css/app.min.css)
14:03:40	1203/1203	---M--	200	added ('OK')	image/png	etag:%224b3-52617def11c80%22	http://www.dare-greatly.com/images/parallels/back_bottom.png	C:/Users/Charles/OneDrive/Desktop/Cadillac/Websites/Cadillac/www.dare-greatly.com/images/parallels/back_bottom.png	(from http://www.dare-greatly.com/css/app.min.css)
14:03:41	1282/1282	---M--	200	added ('OK')	image/jpeg	etag:%22502-52617def11c80%22	http://www.dare-greatly.com/images/parallels/back_top.jpg	C:/Users/Charles/OneDrive/Desktop/Cadillac/Websites/Cadillac/www.dare-greatly.com/images/parallels/back_top.jpg	(from http://www.dare-greatly.com/experience-cadillac/xt5/parallels-by-design/inspiration)
14:03:43	139752/139752	---M--	200	added ('OK')	image/jpeg	etag:%22221e8-52617def11c80%22	http://www.dare-greatly.com/images/parallels/h_inspiration.jpg	C:/Users/Charles/OneDrive/Desktop/Cadillac/Websites/Cadillac/www.dare-greatly.com/images/parallels/h_inspiration.jpg	(from http://www.dare-greatly.com/css/app.min.css)
14:03:51	58401/58401	---M--	200	added ('OK')	image/jpeg	etag:%22e421-52617def11c80%22	http://www.dare-greatly.com/images/parallels/insp_mondrian.jpg	C:/Users/Charles/OneDrive/Desktop/Cadillac/Websites/Cadillac/www.dare-greatly.com/images/parallels/insp_mondrian.jpg	(from http://www.dare-greatly.com/experience-cadillac/xt5/parallels-by-design/inspiration)
14:03:57	79533/79533	---M--	200	added ('OK')	image/jpeg	etag:%22136ad-52617def11c80%22	http://www.dare-greatly.com/images/parallels/form.jpg	C:/Users/Charles/OneDrive/Desktop/Cadillac/Websites/Cadillac/www.dare-greatly.com/images/parallels/form.jpg	(from http://www.dare-greatly.com/experience-cadillac/xt5/parallels-by-design/form)
14:03:59	49339/49339	---M--	200	added ('OK')	image/jpeg	etag:%22c0bb-52617def11c80%22	http://www.dare-greatly.com/images/parallels/form_mondrian.jpg	C:/Users/Charles/OneDrive/Desktop/Cadillac/Websites/Cadillac/www.dare-greatly.com/images/parallels/form_mondrian.jpg	(from http://www.dare-greatly.com/experience-cadillac/xt5/parallels-by-design/form)
14:04:05	480349/480349	---M--	200	added ('OK')	image/jpeg	etag:%227545d-52617def11c80%22	http://www.dare-greatly.com/images/parallels/parallels_poster.jpg	C:/Users/Charles/OneDrive/Desktop/Cadillac/Websites/Cadillac/www.dare-greatly.com/images/parallels/parallels_poster.jpg	(from http://www.dare-greatly.com/css/app.min.css)
14:04:11	68039/68039	---M--	200	added ('OK')	image/jpeg	etag:%22109c7-52617def11c80%22	http://www.dare-greatly.com/images/parallels/color_l.jpg	C:/Users/Charles/OneDrive/Desktop/Cadillac/Websites/Cadillac/www.dare-greatly.com/images/parallels/color_l.jpg	(from http://www.dare-greatly.com/experience-cadillac/xt5/parallels-by-design/color)
14:04:15	58787/58787	---M--	200	added ('OK')	image/jpeg	etag:%22e5a3-52617def11c80%22	http://www.dare-greatly.com/images/parallels/material_mondran.jpg	C:/Users/Charles/OneDrive/Desktop/Cadillac/Websites/Cadillac/www.dare-greatly.com/images/parallels/material_mondran.jpg	(from http://www.dare-greatly.com/experience-cadillac/xt5/parallels-by-design/material)
14:04:18	126719/126719	---M--	200	added ('OK')	image/jpeg	etag:%221eeff-52617def11c80%22	http://www.dare-greatly.com/images/parallels/color_r.jpg	C:/Users/Charles/OneDrive/Desktop/Cadillac/Websites/Cadillac/www.dare-greatly.com/images/parallels/color_r.jpg	(from http://www.dare-greatly.com/experience-cadillac/xt5/parallels-by-design/color)
14:04:21	56459/56459	---M--	200	added ('OK')	image/jpeg	etag:%22dc8b-52617def11c80%22	http://www.dare-greatly.com/images/parallels/construction.jpg	C:/Users/Charles/OneDrive/Desktop/Cadillac/Websites/Cadillac/www.dare-greatly.com/images/parallels/construction.jpg	(from http://www.dare-greatly.com/experience-cadillac/xt5/parallels-by-design/construction)
14:04:29	118786/118786	---M--	200	added ('OK')	image/jpeg	etag:%221d002-52617def11c80%22	http://www.dare-greatly.com/images/parallels/material.jpg	C:/Users/Charles/OneDrive/Desktop/Cadillac/Websites/Cadillac/www.dare-greatly.com/images/parallels/material.jpg	(from http://www.dare-greatly.com/experience-cadillac/xt5/parallels-by-design/material)
14:04:33	101839/101839	---M--	200	added ('OK')	image/jpeg	etag:%2218dcf-52617def11c80%22	http://www.dare-greatly.com/images/parallels/signature_r.jpg	C:/Users/Charles/OneDrive/Desktop/Cadillac/Websites/Cadillac/www.dare-greatly.com/images/parallels/signature_r.jpg	(from http://www.dare-greatly.com/experience-cadillac/xt5/parallels-by-design/signature)
14:04:33	122188/122188	---M--	200	added ('OK')	image/jpeg	etag:%221dd4c-52617def11c80%22	http://www.dare-greatly.com/images/parallels/signature.jpg	C:/Users/Charles/OneDrive/Desktop/Cadillac/Websites/Cadillac/www.dare-greatly.com/images/parallels/signature.jpg	(from http://www.dare-greatly.com/experience-cadillac/xt5/parallels-by-design/signature)
14:04:39	513580/513580	UR-M--	200	added ('Partial%20Content')	image/jpeg	etag:%227d62c-52617def11c80%22	http://www.dare-greatly.com/images/parallels/h_construction.jpg	C:/Users/Charles/OneDrive/Desktop/Cadillac/Websites/Cadillac/www.dare-greatly.com/images/parallels/h_construction.jpg	(from http://www.dare-greatly.com/css/app.min.css)
